sucursal,mes,n_creditos,monto_colocado,cosecha_pct,metaliado
TOTAL,2026-03,360,35451669.1,84.5,Nacional
TOTAL,2026-04,350,30769285.42,83.6,Nacional
TOTAL,2026-05,325,28013669.85,87.8,Nacional
TOTAL,2026-06,311,29608908.76,94.7,Nacional
TOTAL,2026-07,143,12802328.6,100.0,Nacional
Guadalajara,2026-02,19,1910408.35,69.7,Eder
Guadalajara,2026-03,23,3636815.86,61.0,Eder
Guadalajara,2026-04,19,1901217.76,80.8,Eder
Guadalajara,2026-05,20,1805360.88,88.8,Eder
Guadalajara,2026-06,10,1409375.9,91.2,Eder
Guadalajara,2026-07,5,462223.03,100.0,Eder
Motul,2026-02,17,1284450.78,90.9,Eder
Motul,2026-03,23,1619630.72,85.2,Eder
Motul,2026-04,32,2155495.46,85.5,Eder
Motul,2026-05,20,1362424.97,100.0,Eder
Motul,2026-06,27,1896911.72,97.8,Eder
Motul,2026-07,8,451580.21,100.0,Eder
Mérida,2026-02,14,980761.81,96.0,Eder
Mérida,2026-03,9,617624.55,67.9,Eder
Mérida,2026-04,11,815843.15,64.5,Eder
Mérida,2026-05,12,868423.25,62.4,Eder
Mérida,2026-06,10,687700.69,78.4,Eder
Mérida,2026-07,4,246890.98,100.0,Eder
San Juan del Río,2026-02,13,1131927.79,83.8,Eder
San Juan del Río,2026-03,20,1867036.16,92.9,Eder
San Juan del Río,2026-04,13,1214860.8,92.6,Eder
San Juan del Río,2026-05,15,1348805.13,100.0,Eder
San Juan del Río,2026-06,17,1533628.69,100.0,Eder
San Juan del Río,2026-07,7,510943.36,100.0,Eder
Tequisquiapan,2026-02,12,1109136.76,94.9,Eder
Tequisquiapan,2026-03,13,1562757.65,85.1,Eder
Tequisquiapan,2026-04,5,403786.24,91.0,Eder
Tequisquiapan,2026-05,10,685515.18,87.4,Eder
Tequisquiapan,2026-06,9,1001042.66,100.0,Eder
Tequisquiapan,2026-07,8,783879.79,100.0,Eder
TOTAL,2026-02,75,6416685.49,84.8,Eder
TOTAL,2026-03,88,9303864.94,76.1,Eder
TOTAL,2026-04,80,6491203.41,83.2,Eder
TOTAL,2026-05,77,6070529.41,89.9,Eder
TOTAL,2026-06,73,6528659.66,95.2,Eder
TOTAL,2026-07,32,2455517.37,100.0,Eder
Cancún,2026-02,35,3096003.72,86.7,Jessy
Cancún,2026-03,35,2980895.85,79.7,Jessy
Cancún,2026-04,32,2635561.16,82.2,Jessy
Cancún,2026-05,35,3195453.2,85.5,Jessy
